id,gradeId,question,answer,choice1,choice2,choice3,explanation
1,2,世界の三大宗教に含まれないものはどれか？,ユダヤ教,キリスト教,仏教,イスラム教,世界三大宗教（せかいさんだいしゅうきょう）とは、仏教、キリスト教、イスラム教の三つを指した言葉。三大宗教ともいう。この「世界三大宗教」という用語は、日本・中国等の用語であり、英語で「世界三大宗教」に相当する用語は存在しない。信者数は、キリスト教が20億人、イスラム教が16億人、仏教が4億人程度とされる。
2,2,「世界保健機関」の略称は次のうちどれか？,WHO,IOC,WBC,ILO,"世界保健機関（せかいほけんきかん、英: World Health Organization, WHO、仏: Organisation mondiale de la sant?, OMS）は、人間の健康を基本的人権の一つと捉え、その達成を目的として設立された国際連合の専門機関（国際連合機関）である。略称は英語式（WHO）と仏語式（OMS）で異なる。日本をはじめ多くの国では英語略称のWHO（ダブリュー・エイチ・オー）が多用される。"
3,2,異なる企業同士が，法に定める手続に従って一つの事業体になることを何というか？,合併,事業仕分け,統合,民事再生,合併（がっぺい：amalgamation/merger[1]）とは、法定の手続に従って、複数の法人その他の事業体が一つの法人その他の事業体になることをいう。
4,2,火山噴出物の元となる，地下深くにあり，岩石が高温で溶けた状態のものを何というか？,マグマ,溶岩,マントル,プレート,マグマは周辺の地殻に存在する岩石より高温である。この高温は地殻の下にあるマントルに由来するが、マントルは高温ではあるものの、高い圧力がかかっている地下では固体として存在している。
5,2,次のうち，哺乳類に属さない動物はどれか？,ワニ,イルカ,クジラ,コウモリ,ワニ（鰐、?）は、ワニ目（ワニもく、学名:ordo Crocodilia) に属する、肉食性で水中生活に適応した爬虫類の総称。中生代三畳紀中期に出現して以来、初期を除く全ての時代を通して、ニシキヘビ等の大蛇と並び、淡水域の生態系において生態ピラミッドの最高次消費者の地位を占めてきた動物群である。
6,2,気象情報などで，気圧を表す単位は次のうちどれか？,ヘクトパスカル,ガロン,デシベル,キロカロリー,ヘクトパスカル (英: hectopascal、hPa) は、国際単位系 (SI) 上の圧力の単位（SI組立単位）である。ヘクトが100倍を表すSI接頭辞であるから、1ヘクトパスカルは100パスカルである。主として気象関係で使われているが、その他の分野で用いられることはまずない。
7,2,｢ハマチ → ブリ｣ のように，成長につれて呼び名が変わる魚のことを，一般に何と呼ぶか？,出世魚,大名魚,昇進魚,変名魚,出世魚（しゅっせうお）とは稚魚から成魚までの成長段階において異なる名称を持つ魚。江戸時代までは武士や学者には元服および出世などに際し改名する慣習があった。その慣習になぞらえ「成長に伴って出世するように名称が変わる魚」を出世魚（しゅっせうお）と呼ぶ。
8,2,次の中で，敬語の種類ではないものはどれか？,美辞語,尊敬語,謙譲語,丁寧語,一般的には敬語を尊敬語・謙譲語・丁寧語の3つに分類する。日本語学においてはさらに丁重語・美化語を立てた5分類が多く使われている。
9,2,次の中で，日本国民の義務でないものはどれか？,裁判,納税,教育,労働,国民の三大義務（こくみんのさんだいぎむ）とは、日本国憲法に定められた「教育の義務（26条2項）」「勤労の義務（27条1項）」「納税の義務（30条）」の日本国民の三つの義務を指す。
10,2,地球温暖化の原因と推測され，その排出量が国家間取引の対象にもなっている物質は何か？,二酸化炭素,一酸化炭素,硫化水素,塩化ナトリウム,温室効果ガスとは、大気圏にあって、地表から放射された赤外線の一部を吸収することにより、温室効果をもたらす気体の総称である。対流圏オゾン、二酸化炭素、メタンなどが該当する。近年、大気中の濃度を増しているものもあり、地球温暖化の主な原因とされている。
11,1,EU圏で使用されている共通の通貨は何か？,ユーロ,マルク,ドル,ポンド,ユーロはヨーロッパでは25の国で使用されている。そのうち19か国が欧州連合加盟国である。1999年1月1日に決済用仮想通貨として導入された。この時点では現金のユーロは存在しなかった。3年後の2002年1月1日に現金通貨としてのユーロが発足した。この時、導入国の従来の通貨に代わり、ユーロが法定通貨となった
12,1,一般の日本国民が，裁判にかかわるようになった制度は何か？,裁判員制度,陪審員制度,審判員制度,審査委員制度,裁判員制度（さいばんいんせいど）とは、特定の刑事裁判において、有権者（市民）から事件ごとに選ばれた裁判員が裁判官とともに審理に参加する日本の司法・裁判制度をいう。
